MCI	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	detalhe
200932545	29901874	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	29901874 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
200935534	37726640	99718351	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	37726640 - 99718351 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
200980407	638844	102635130	107620555	108138101	108755285	109837338	110792668	110989108	111840801	113638632	113743281	113990804	114778159	115237902	126611397	126817172	130599418	130733334	131959969	133363100	133461876	133857005	133991516	134783244	134860866	135772261	135870043	638844 - 102635130 - 107620555 - 108138101 - 108755285 - 109837338 - 110792668 - 110989108 - 111840801 - 113638632 - 113743281 - 113990804 - 114778159 - 115237902
201038084	124061174	136770051	997600542	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	124061174 - 136770051 - 997600542 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
201190400	834082	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	834082 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
201210690	138926577	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	138926577 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
201211563	38746576	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	38746576 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
201257157	111139146	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	111139146 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
201322779	69683157	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	69683157 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
201331188	56997	37731289	37731675	123720474	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	56997 - 37731289 - 37731675 - 123720474 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
202690988	20678282	34948072	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	20678282 - 34948072 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
202798885	136852833	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	136852833 - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan - nan
