Data,Fechamento
05/09/2023,67.13
04/09/2023,67.42
01/09/2023,66.93
31/08/2023,63.23
30/08/2023,63.13
29/08/2023,63.12
28/08/2023,61.17
25/08/2023,60.3
24/08/2023,60.43
23/08/2023,61.24
22/08/2023,60.8
21/08/2023,59.46
18/08/2023,59.48
17/08/2023,60.15
16/08/2023,59.31
15/08/2023,59.54
14/08/2023,60.14
11/08/2023,62.06
10/08/2023,62.58
09/08/2023,63.33
08/08/2023,63.91
07/08/2023,64.32
04/08/2023,64.0
03/08/2023,63.95
02/08/2023,63.56
01/08/2023,64.61
31/07/2023,65.52
28/07/2023,64.07
27/07/2023,66.71
26/07/2023,67.98
25/07/2023,68.22
24/07/2023,66.17
21/07/2023,64.23
20/07/2023,63.84
19/07/2023,63.7
18/07/2023,63.87
17/07/2023,64.28
14/07/2023,65.0
13/07/2023,65.0
12/07/2023,63.52
11/07/2023,63.07
10/07/2023,61.06
07/07/2023,62.01
06/07/2023,61.43
05/07/2023,61.88
04/07/2023,62.43
03/07/2023,62.74
30/06/2023,60.84
29/06/2023,62.06
28/06/2023,61.31
27/06/2023,63.31
26/06/2023,62.56
23/06/2023,62.43
22/06/2023,63.12
21/06/2023,63.4
20/06/2023,64.05
19/06/2023,65.74
16/06/2023,66.0
15/06/2023,65.9
14/06/2023,65.38
13/06/2023,64.26
12/06/2023,63.58
09/06/2023,64.76
07/06/2023,65.05
06/06/2023,64.04
05/06/2023,63.83
02/06/2023,64.36
01/06/2023,61.73
31/05/2023,60.45
30/05/2023,60.89
29/05/2023,62.36
26/05/2023,62.84
25/05/2023,61.43
24/05/2023,61.62
23/05/2023,63.05
22/05/2023,64.51
19/05/2023,65.56
18/05/2023,66.29
17/05/2023,66.2
16/05/2023,64.08
15/05/2023,65.42
12/05/2023,64.49
11/05/2023,64.43
10/05/2023,65.71
09/05/2023,66.97
08/05/2023,66.28
05/05/2023,65.4
04/05/2023,63.34
03/05/2023,65.37
02/05/2023,65.85
28/04/2023,68.59
27/04/2023,67.98
26/04/2023,66.57
25/04/2023,66.31
24/04/2023,68.17
20/04/2023,70.73
19/04/2023,72.23
18/04/2023,74.4
17/04/2023,73.77
14/04/2023,74.66
13/04/2023,75.32
12/04/2023,76.35
11/04/2023,78.02
10/04/2023,74.11
06/04/2023,72.71
05/04/2023,72.84
04/04/2023,73.93
03/04/2023,76.08
31/03/2023,76.06
30/03/2023,77.51
29/03/2023,76.27
28/03/2023,75.19
27/03/2023,74.4
24/03/2023,74.53
23/03/2023,75.39
22/03/2023,77.38
21/03/2023,78.35
20/03/2023,79.02
17/03/2023,78.37
16/03/2023,77.44
15/03/2023,77.16
14/03/2023,79.56
13/03/2023,78.84
10/03/2023,78.51
09/03/2023,78.77
08/03/2023,79.82
07/03/2023,79.1
06/03/2023,79.86
03/03/2023,82.78
02/03/2023,82.5
01/03/2023,82.68
28/02/2023,79.09
27/02/2023,78.83
24/02/2023,78.83
23/02/2023,80.6
22/02/2023,80.98
17/02/2023,81.6
16/02/2023,82.67
15/02/2023,82.5
14/02/2023,80.74
13/02/2023,80.38
10/02/2023,80.46
09/02/2023,81.93
08/02/2023,82.24
07/02/2023,81.96
06/02/2023,81.42
03/02/2023,82.45
02/02/2023,82.63
01/02/2023,86.63
31/01/2023,87.61
30/01/2023,88.04
27/01/2023,88.36
26/01/2023,90.84
25/01/2023,89.17
24/01/2023,88.34
23/01/2023,87.41
20/01/2023,87.12
19/01/2023,86.89
18/01/2023,86.52
17/01/2023,85.4
16/01/2023,85.51
13/01/2023,86.97
12/01/2023,86.89
11/01/2023,86.44
10/01/2023,86.74
09/01/2023,85.69
06/01/2023,85.59
05/01/2023,84.26
04/01/2023,82.87
03/01/2023,82.72
02/01/2023,82.87
